CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2007-10-01 00:00,mm,244,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2007-11-01 00:00,mm,128,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2007-12-01 00:00,mm,170.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-01-01 00:00,mm,98.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-02-01 00:00,mm,110.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-03-01 00:00,mm,133,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-04-01 00:00,mm,183,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-05-01 00:00,mm,216.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-06-01 00:00,mm,40.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-07-01 00:00,mm,85.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-08-01 00:00,mm,86.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-09-01 00:00,mm,43.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-10-01 00:00,mm,192.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-11-01 00:00,mm,173.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2008-12-01 00:00,mm,69.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2009-01-01 00:00,mm,47.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2009-02-01 00:00,mm,66.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2009-03-01 00:00,mm,128.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2009-04-01 00:00,mm,111.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2009-05-01 00:00,mm,55.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2009-06-01 00:00,mm,61.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2009-07-01 00:00,mm,16.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-01-01 00:00,mm,12,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-02-01 00:00,mm,65.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-03-01 00:00,mm,80.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-04-01 00:00,mm,212.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-05-01 00:00,mm,213.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-06-01 00:00,mm,55.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-07-01 00:00,mm,283.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-08-01 00:00,mm,58.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-09-01 00:00,mm,160.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-10-01 00:00,mm,149.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-11-01 00:00,mm,199.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2010-12-01 00:00,mm,105.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-01-01 00:00,mm,65.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-02-01 00:00,mm,87.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-03-01 00:00,mm,159.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-04-01 00:00,mm,298,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-05-01 00:00,mm,148.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-06-01 00:00,mm,75.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-07-01 00:00,mm,69.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-08-01 00:00,mm,50.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-09-01 00:00,mm,36.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-10-01 00:00,mm,245.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-11-01 00:00,mm,332.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2011-12-01 00:00,mm,239.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-01-01 00:00,mm,168.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-02-01 00:00,mm,47.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-03-01 00:00,mm,91.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-04-01 00:00,mm,234.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-05-01 00:00,mm,40.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-06-01 00:00,mm,19,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-07-01 00:00,mm,20.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-08-01 00:00,mm,29.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-09-01 00:00,mm,22.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-10-01 00:00,mm,126,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-11-01 00:00,mm,87.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2012-12-01 00:00,mm,82.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-01-01 00:00,mm,20.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-02-01 00:00,mm,110.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-03-01 00:00,mm,142.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-04-01 00:00,mm,140.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-05-01 00:00,mm,114,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-06-01 00:00,mm,18.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-07-01 00:00,mm,16.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-08-01 00:00,mm,50,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2013-09-01 00:00,mm,31.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-01-01 00:00,mm,59.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-02-01 00:00,mm,71,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-03-01 00:00,mm,128.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-04-01 00:00,mm,126.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-05-01 00:00,mm,179.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-06-01 00:00,mm,24.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-07-01 00:00,mm,10.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-08-01 00:00,mm,12.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-09-01 00:00,mm,20.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-10-01 00:00,mm,83.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-11-01 00:00,mm,209.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2014-12-01 00:00,mm,86.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-01-01 00:00,mm,47.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-02-01 00:00,mm,17.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-03-01 00:00,mm,97.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-04-01 00:00,mm,69.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-05-01 00:00,mm,11.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-06-01 00:00,mm,25.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-07-01 00:00,mm,37.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-08-01 00:00,mm,7.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-09-01 00:00,mm,22.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-10-01 00:00,mm,47.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-11-01 00:00,mm,58.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2015-12-01 00:00,mm,1.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-01-01 00:00,mm,33.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-02-01 00:00,mm,58.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-03-01 00:00,mm,121,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-04-01 00:00,mm,118.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-05-01 00:00,mm,113.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-06-01 00:00,mm,7.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-07-01 00:00,mm,29,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-08-01 00:00,mm,13.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-09-01 00:00,mm,54.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-10-01 00:00,mm,117.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-11-01 00:00,mm,126.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2016-12-01 00:00,mm,175.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-01-01 00:00,mm,46.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-02-01 00:00,mm,60.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-03-01 00:00,mm,257.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-04-01 00:00,mm,96.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-05-01 00:00,mm,138.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-06-01 00:00,mm,124.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-07-01 00:00,mm,25.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-08-01 00:00,mm,24.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-09-01 00:00,mm,13.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-10-01 00:00,mm,122.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-11-01 00:00,mm,179,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2017-12-01 00:00,mm,76.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-01-01 00:00,mm,87.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-02-01 00:00,mm,60.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-03-01 00:00,mm,35.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-04-01 00:00,mm,191.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-05-01 00:00,mm,148.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-06-01 00:00,mm,44.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-07-01 00:00,mm,28,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-08-01 00:00,mm,14.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-09-01 00:00,mm,45.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-10-01 00:00,mm,176.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-11-01 00:00,mm,134.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2018-12-01 00:00,mm,22.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-01-01 00:00,mm,14.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-02-01 00:00,mm,62.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-03-01 00:00,mm,202.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-04-01 00:00,mm,110.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-05-01 00:00,mm,125.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-06-01 00:00,mm,29.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-07-01 00:00,mm,13.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-08-01 00:00,mm,12,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-09-01 00:00,mm,58.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-10-01 00:00,mm,106.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-11-01 00:00,mm,131,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2019-12-01 00:00,mm,62.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-01-01 00:00,mm,18.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-02-01 00:00,mm,55.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-03-01 00:00,mm,134.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-04-01 00:00,mm,109.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-05-01 00:00,mm,64.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-06-01 00:00,mm,77.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-07-01 00:00,mm,55.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-08-01 00:00,mm,30.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-09-01 00:00,mm,89.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-10-01 00:00,mm,49.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-11-01 00:00,mm,301.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2020-12-01 00:00,mm,127.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-01-01 00:00,mm,11.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-02-01 00:00,mm,49.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-03-01 00:00,mm,132.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-04-01 00:00,mm,131.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-05-01 00:00,mm,126.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-06-01 00:00,mm,176.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-07-01 00:00,mm,11.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-08-01 00:00,mm,103.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-09-01 00:00,mm,68.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-10-01 00:00,mm,206.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-11-01 00:00,mm,192.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2021-12-01 00:00,mm,57.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-01-01 00:00,mm,26.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-02-01 00:00,mm,139.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-03-01 00:00,mm,132.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-04-01 00:00,mm,112.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-05-01 00:00,mm,162.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-06-01 00:00,mm,146.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-07-01 00:00,mm,70.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-08-01 00:00,mm,103.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-09-01 00:00,mm,91.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-10-01 00:00,mm,215.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-11-01 00:00,mm,207.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2022-12-01 00:00,mm,67.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-01-01 00:00,mm,103.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-02-01 00:00,mm,55.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-03-01 00:00,mm,111.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-04-01 00:00,mm,152.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-05-01 00:00,mm,38.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-06-01 00:00,mm,47.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-07-01 00:00,mm,39.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-08-01 00:00,mm,25.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-09-01 00:00,mm,11.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-10-01 00:00,mm,156.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-11-01 00:00,mm,75.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2023-12-01 00:00,mm,25.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-01-01 00:00,mm,15.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-02-01 00:00,mm,16.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-03-01 00:00,mm,67.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-04-01 00:00,mm,174.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-05-01 00:00,mm,93.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-06-01 00:00,mm,122.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-07-01 00:00,mm,11,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-08-01 00:00,mm,13.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-09-01 00:00,mm,74.6,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-10-01 00:00,mm,174.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-11-01 00:00,mm,229,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2024-12-01 00:00,mm,99,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-01-01 00:00,mm,17,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-02-01 00:00,mm,126.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-03-01 00:00,mm,189,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-04-01 00:00,mm,149.4,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-05-01 00:00,mm,89.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-06-01 00:00,mm,96.5,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-07-01 00:00,mm,20.3,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-08-01 00:00,mm,62.7,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-09-01 00:00,mm,40.2,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-10-01 00:00,mm,49.9,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-11-01 00:00,mm,132.1,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2025-12-01 00:00,mm,56.8,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],PRECIPITACION,Precipitación total mensual,2026-01-01 00:00,mm,57.4,Preliminar
